Estabelecimento,CodigoEstabelecimento,UnidadeOrganica,CodigoUnidadeOrganica,Natureza,TipoEnsino,NomeCurso,CodigoCurso,Grau,NumeroDiplomadosCurso,AmostraAceite,NumeroDiplomadosDesempregados,TaxaDesempregoRegistadoCurso,AnosLetivosDiplomados,Fonte
Universidade Fernando Pessoa,2750,Universidade Fernando Pessoa,2750,Privado,Universitário,Criminologia,9066,Licenciatura,61,Sim,42,"68,9",2009/10_2012/13,DGEEC
Universidade Lusíada de Vila Nova de Famalicão,2402,Universidade Lusíada de Vila Nova de Famalicão,2402,Privado,Universitário,Arquitectura,9257,Mestrado Integrado,105,Sim,54,"51,4",2009/10_2012/13,DGEEC
Escola Superior Artística do Porto,4010,Escola Superior Artística do Porto,4010,Privado,Universitário,Arquitectura,9257,Mestrado Integrado,132,Sim,63,"47,7",2009/10_2012/13,DGEEC
Universidade Fernando Pessoa,2750,Escola Superior de Saúde,2752,Privado,Politécnico,Análises Clínicas e de Saúde Pública,9497,Licenciatura,46,Sim,21,"45,7",2009/10_2012/13,DGEEC
Universidade Lusófona do Porto,4032,Universidade Lusófona do Porto,4032,Privado,Universitário,Arquitectura,9257,Mestrado Integrado,36,Sim,15,"41,7",2009/10_2012/13,DGEEC
Universidade Portucalense Infante D. Henrique,2500,Universidade Portucalense Infante D. Henrique,2500,Privado,Universitário,Educação Social,9084,Licenciatura,112,Sim,45,"40,2",2009/10_2012/13,DGEEC
Instituto Superior Politécnico Gaya,4440,Escola Superior de Desenvolvimento Social e Comunitário,4441,Privado,Politécnico,Turismo,9254,Licenciatura,33,Sim,13,"39,4",2009/10_2012/13,DGEEC
Escola Superior de Tecnologias de Fafe,4115,Escola Superior de Tecnologias de Fafe,4115,Privado,Politécnico,Informática de Gestão,9186,Licenciatura,34,Sim,13,"38,2",2009/10_2012/13,DGEEC
Universidade Católica Portuguesa,2200,Faculdade de Ciências Sociais,2221,Privado,Universitário,Serviço Social,9238,Licenciatura,230,Sim,86,"37,4",2009/10_2012/13,DGEEC
Universidade de Trás-os-Montes e Alto Douro,1200,Escola de Ciências Humanas e Sociais,1202,Público,Universitário,Línguas e Relações Empresariais,9196,Licenciatura,74,Sim,26,"35,1",2009/10_2012/13,DGES
Instituto Superior Politécnico Gaya,4440,Escola Superior de Desenvolvimento Social e Comunitário,4441,Privado,Politécnico,Serviço Social,9238,Licenciatura,77,Sim,27,"35,1",2009/10_2012/13,DGEEC
Universidade Fernando Pessoa,2750,Universidade Fernando Pessoa,2750,Privado,Universitário,Psicologia,9219,Licenciatura,39,Sim,13,"33,3",2009/10_2012/13,DGEEC
Escola Superior Artística do Porto,4010,Escola Superior Artística do Porto,4010,Privado,Universitário,Artes Visuais - Fotografia,9683,Licenciatura,77,Sim,25,"32,5",2009/10_2012/13,DGEEC
Escola Superior de Tecnologias de Fafe,4115,Escola Superior de Tecnologias de Fafe,4115,Privado,Politécnico,Contabilidade,9056,Licenciatura,53,Sim,17,"32,1",2009/10_2012/13,DGEEC
Universidade Lusófona de Humanidades e Tecnologias,2800,Universidade Lusófona de Humanidades e Tecnologias,2800,Privado,Universitário,"Cinema, Vídeo e Comunicação Multimédia",9049,Licenciatura,129,Sim,40,31,2009/10_2012/13,DGEEC
Universidade Fernando Pessoa,2750,Universidade Fernando Pessoa,2750,Privado,Universitário,Ciências da Comunicação,9023,Licenciatura,102,Sim,31,"30,4",2009/10_2012/13,DGEEC
Escola Universitária das Artes de Coimbra,4120,Escola Universitária das Artes de Coimbra,4120,Privado,Universitário,Arquitectura,9257,Mestrado Integrado,109,Sim,33,"30,3",2009/10_2012/13,DGEEC
Instituto Superior de Serviço Social do Porto,4520,Instituto Superior de Serviço Social do Porto,4520,Privado,Universitário,Serviço Social,9238,Licenciatura,310,Sim,93,30,2009/10_2012/13,DGEEC
CESPU-Instituto Politécnico de Saúde do Norte,4107,Escola Superior de Saúde do Vale do Ave,4108,Privado,Politécnico,Fisioterapia,9504,Licenciatura,88,Sim,26,"29,5",2009/10_2012/13,DGEEC
Instituto Politécnico de Tomar,3240,Escola Superior de Tecnologia de Abrantes,3243,Público,Politécnico,Vídeo e Cinema Documental,9932,Licenciatura,41,Sim,12,"29,2",2009/10_2012/13,DGES
Escola Superior de Artes e Design,4069,Escola Superior de Artes e Design,4069,Privado,Politécnico,Design,9069,Licenciatura,533,Sim,155,"29,1",2009/10_2012/13,DGEEC
Universidade de Évora,600,Escola de Ciências Sociais,604,Público,Universitário,Ciências da Informação e da Documentação,9039,Licenciatura,43,Sim,12,"27,9",2009/10_2012/13,DGES
Instituto Superior de Entre Douro e Vouga,4283,Instituto Superior de Entre Douro e Vouga,4283,Privado,Politécnico,"Marketing, Publicidade e Relações Públicas",9208,Licenciatura,65,Sim,18,"27,7",2009/10_2012/13,DGEEC
Instituto Universitário da Maia - ISMAI,4358,Instituto Universitário da Maia - ISMAI,4358,Privado,Universitário,Turismo,9254,Licenciatura,65,Sim,18,"27,7",2009/10_2012/13,DGEEC
Escola Superior de Educação de Paula Frassinetti,4085,Escola Superior de Educação de Paula Frassinetti,4085,Privado,Politécnico,Educação Social,9084,Licenciatura,69,Sim,19,"27,5",2009/10_2012/13,DGEEC
Instituto Politécnico de Coimbra,3060,Escola Superior de Educação de Coimbra,3062,Público,Politécnico,Gerontologia Social,9668,Licenciatura,73,Sim,20,"27,3",2009/10_2012/13,DGES
Instituto Universitário da Maia - ISMAI,4358,Instituto Universitário da Maia - ISMAI,4358,Privado,Universitário,Ciências da Comunicação,9023,Licenciatura,165,Sim,45,"27,3",2009/10_2012/13,DGEEC
Instituto Universitário da Maia - ISMAI,4358,Instituto Universitário da Maia - ISMAI,4358,Privado,Universitário,Relações Públicas,9230,Licenciatura,63,Sim,17,27,2009/10_2012/13,DGEEC
Escola Superior Artística do Porto,4010,Escola Superior Artística do Porto,4010,Privado,Universitário,Cinema e Audiovisual,9713,Licenciatura,116,Sim,31,"26,7",2009/10_2012/13,DGEEC
Universidade Lusíada do Porto,2401,Universidade Lusíada do Porto,2401,Privado,Universitário,Arquitectura,9257,Mestrado Integrado,390,Sim,103,"26,4",2009/10_2012/13,DGEEC
Instituto Politécnico de Setúbal,3150,Escola Superior de Tecnologia de Setúbal,3152,Público,Politécnico,Engenharia do Ambiente,9099,Licenciatura,68,Sim,18,"26,4",2009/10_2012/13,DGES
Instituto Universitário da Maia - ISMAI,4358,Instituto Universitário da Maia - ISMAI,4358,Privado,Universitário,Gestão de Marketing,9156,Licenciatura,42,Sim,11,"26,2",2009/10_2012/13,DGEEC
Instituto Politécnico da Guarda,3090,Escola Superior de Tecnologia e Gestão,3092,Público,Politécnico,Design de Equipamento,9072,Licenciatura,69,Sim,18,26,2009/10_2012/13,DGES
Universidade de Trás-os-Montes e Alto Douro,1200,Escola de Ciências Humanas e Sociais,1202,Público,Universitário,Teatro e Artes Performativas,9803,Licenciatura,51,Sim,13,"25,4",2009/10_2012/13,DGES
Instituto Politécnico de Bragança,3040,Escola Superior Agrária de Bragança,3041,Público,Politécnico,Engenharia Zootécnica,9129,Licenciatura,32,Sim,8,25,2009/10_2012/13,DGES
Instituto Superior de Novas Profissões,4150,Instituto Superior de Novas Profissões,4150,Privado,Politécnico,Relações Públicas e Publicidade,9232,Licenciatura,143,Sim,35,"24,5",2009/10_2012/13,DGEEC
Instituto Universitário da Maia - ISMAI,4358,Instituto Universitário da Maia - ISMAI,4358,Privado,Universitário,Tecnologias de Comunicação Multimédia,9249,Licenciatura,144,Sim,35,"24,3",2009/10_2012/13,DGEEC
Instituto Politécnico de Bragança,3040,Escola Superior Agrária de Bragança,3041,Público,Politécnico,Engenharia do Ambiente,9099,Licenciatura,66,Sim,16,"24,2",2009/10_2012/13,DGES
Escola Superior Artística do Porto,4010,Escola Superior Artística do Porto,4010,Privado,Universitário,Design e Comunicação Multimédia,9728,Licenciatura,66,Sim,16,"24,2",2009/10_2012/13,DGEEC
Instituto Politécnico de Coimbra,3060,Escola Superior Agrária de Coimbra,3061,Público,Politécnico,Agricultura Biológica,9673,Licenciatura,50,Sim,12,24,2009/10_2012/13,DGES
Instituto Politécnico da Guarda,3090,Escola Superior de Tecnologia e Gestão,3092,Público,Politécnico,Marketing,9205,Licenciatura,81,Sim,19,"23,4",2009/10_2012/13,DGES
Instituto Politécnico de Portalegre,3120,Escola Superior de Tecnologia e Gestão,3122,Público,Politécnico,Design de Comunicação,9070,Licenciatura,86,Sim,20,"23,2",2009/10_2012/13,DGES
Instituto Universitário da Maia - ISMAI,4358,Instituto Universitário da Maia - ISMAI,4358,Privado,Universitário,Criminologia,9066,Licenciatura,285,Sim,66,"23,2",2009/10_2012/13,DGEEC
Escola Superior de Tecnologias de Fafe,4115,Escola Superior de Tecnologias de Fafe,4115,Privado,Politécnico,Turismo,9254,Licenciatura,39,Sim,9,"23,1",2009/10_2012/13,DGEEC
Universidade Católica Portuguesa,2200,Escola Superior de Biotecnologia,2210,Privado,Universitário,Ciências da Nutrição,9554,Licenciatura,126,Sim,29,23,2009/10_2012/13,DGEEC
Universidade Lusófona de Humanidades e Tecnologias,2800,Universidade Lusófona de Humanidades e Tecnologias,2800,Privado,Universitário,Ciências Farmacêuticas,9494,Mestrado Integrado,105,Sim,24,"22,9",2009/10_2012/13,DGEEC
Instituto Politécnico do Porto,3130,Escola Superior de Música e das Artes do Espectáculo,3132,Público,Politécnico,Tecnologia da Comunicação Multimédia,9863,Licenciatura,40,Sim,9,"22,5",2009/10_2012/13,DGES
Instituto Politécnico de Bragança,3040,Escola Superior de Saúde de Bragança,7015,Público,Politécnico,Análises Clínicas e de Saúde Pública,9497,Licenciatura,138,Sim,31,"22,4",2009/10_2012/13,DGES
Universidade de Coimbra,500,Faculdade de Psicologia e de Ciências da Educação,507,Público,Universitário,Serviço Social,9238,Licenciatura,139,Sim,31,"22,3",2009/10_2012/13,DGES
Instituto Universitário da Maia - ISMAI,4358,Instituto Universitário da Maia - ISMAI,4358,Privado,Universitário,Gestão de Recursos Humanos,9157,Licenciatura,206,Sim,46,"22,3",2009/10_2012/13,DGEEC
Universidade da Beira Interior,400,Universidade da Beira Interior,400,Público,Universitário,Ciência Política e Relações Internacionais,9020,Licenciatura,90,Sim,20,"22,2",2009/10_2012/13,DGES
Universidade de Trás-os-Montes e Alto Douro,1200,Escola de Ciências Humanas e Sociais,1202,Público,Universitário,Economia,9081,Licenciatura,155,Sim,34,"21,9",2009/10_2012/13,DGES
Universidade de Trás-os-Montes e Alto Douro,1200,Escola de Ciências Humanas e Sociais,1202,Público,Universitário,Ciências da Comunicação,9023,Licenciatura,229,Sim,50,"21,8",2009/10_2012/13,DGES
Instituto Universitário da Maia - ISMAI,4358,Instituto Universitário da Maia - ISMAI,4358,Privado,Universitário,Gestão do Desporto,9162,Licenciatura,170,Sim,37,"21,8",2009/10_2012/13,DGEEC
Universidade de Coimbra,500,Faculdade de Economia,503,Público,Universitário,Sociologia,9240,Licenciatura,92,Sim,20,"21,7",2009/10_2012/13,DGES
Universidade Lusíada do Porto,2401,Universidade Lusíada do Porto,2401,Privado,Universitário,Criminologia,9066,Licenciatura,69,Sim,15,"21,7",2009/10_2012/13,DGEEC
Instituto Superior Miguel Torga,4500,Instituto Superior Miguel Torga,4500,Privado,Universitário,Multimédia,9213,Licenciatura,60,Sim,13,"21,7",2009/10_2012/13,DGEEC
Universidade de Évora,600,Escola de Ciências Sociais,604,Público,Universitário,Sociologia,9240,Licenciatura,106,Sim,23,"21,6",2009/10_2012/13,DGES
Instituto Superior de Ciências Empresariais e do Turismo,4280,Instituto Superior de Ciências Empresariais e do Turismo,4280,Privado,Politécnico,Marketing e Publicidade,9206,Licenciatura,51,Sim,11,"21,6",2009/10_2012/13,DGEEC
Instituto Superior de Tecnologias Avançadas de Lisboa (Porto),4531,Instituto Superior de Tecnologias Avançadas de Lisboa (Porto),4531,Privado,Politécnico,Engenharia Multimédia,9124,Licenciatura,51,Sim,11,"21,6",2009/10_2012/13,DGEEC
Universidade de Trás-os-Montes e Alto Douro,1200,Escola de Ciências Humanas e Sociais,1202,Público,Universitário,Serviço Social,9238,Licenciatura,223,Sim,48,"21,5",2009/10_2012/13,DGES
Instituto Politécnico de Bragança,3040,"Escola Superior de Comunicação, Administração e Turismo de Mirandela",3045,Público,Politécnico,Turismo,9254,Licenciatura,65,Sim,14,"21,5",2009/10_2012/13,DGES
Instituto Politécnico do Porto,3130,Escola Superior de Tecnologia da Saúde do Porto,7230,Público,Politécnico,Radioterapia,8153,Licenciatura,80,Sim,17,"21,5",2009/10_2012/13,DGES
Instituto Superior de Ciências Empresariais e do Turismo,4280,Instituto Superior de Ciências Empresariais e do Turismo,4280,Privado,Politécnico,Turismo,9254,Licenciatura,146,Sim,31,"21,2",2009/10_2012/13,DGEEC
Universidade Católica Portuguesa,2200,Escola das Artes,2265,Privado,Universitário,Arte - Conservação e Restauro,9551,Licenciatura,43,Sim,9,"20,9",2009/10_2012/13,DGEEC
Universidade Portucalense Infante D. Henrique,2500,Universidade Portucalense Infante D. Henrique,2500,Privado,Universitário,Economia,9081,Licenciatura,86,Sim,18,"20,9",2009/10_2012/13,DGEEC
Universidade Fernando Pessoa,2750,Universidade Fernando Pessoa,2750,Privado,Universitário,Ciências Farmacêuticas,9494,Mestrado Integrado,226,Sim,47,"20,8",2009/10_2012/13,DGEEC
Instituto Politécnico de Bragança,3040,Escola Superior Agrária de Bragança,3041,Público,Politécnico,Enfermagem Veterinária,9085,Licenciatura,101,Sim,21,"20,7",2009/10_2012/13,DGES
Instituto Superior de Educação e Ciências,4298,Instituto Superior de Educação e Ciências,4298,Privado,Politécnico,Design e Produção Gráfica,9073,Licenciatura,63,Sim,13,"20,6",2009/10_2012/13,DGEEC
Instituto Politécnico de Castelo Branco,3050,Escola Superior de Educação de Castelo Branco,3052,Público,Politécnico,Serviço Social,9238,Licenciatura,185,Sim,38,"20,5",2009/10_2012/13,DGES
Escola Superior de Saúde Jean Piaget de Vila Nova de Gaia,4101,Escola Superior de Saúde Jean Piaget de Vila Nova de Gaia,4101,Privado,Politécnico,Fisioterapia,9504,Licenciatura,224,Sim,46,"20,5",2009/10_2012/13,DGEEC
Universidade Portucalense Infante D. Henrique,2500,Universidade Portucalense Infante D. Henrique,2500,Privado,Universitário,Gestão,9147,Licenciatura,167,Sim,34,"20,4",2009/10_2012/13,DGEEC
Instituto Superior de Serviço Social do Porto,4520,Instituto Superior de Serviço Social do Porto,4520,Privado,Universitário,Gerontologia Social,9668,Licenciatura,54,Sim,11,"20,4",2009/10_2012/13,DGEEC
Instituto Politécnico do Cávado e do Ave,3030,Escola Superior de Gestão,3031,Público,Politécnico,Gestão de Actividades Turísticas,8156,Licenciatura,59,Sim,12,"20,3",2009/10_2012/13,DGES
Instituto Politécnico do Cávado e do Ave,3030,Escola Superior de Tecnologia,3032,Público,Politécnico,Design Gráfico,9470,Licenciatura,192,Sim,39,"20,3",2009/10_2012/13,DGES
Instituto Politécnico de Bragança,3040,"Escola Superior de Comunicação, Administração e Turismo de Mirandela",3045,Público,Politécnico,Marketing,9205,Licenciatura,54,Sim,11,"20,3",2009/10_2012/13,DGES
Instituto Politécnico do Porto,3130,Escola Superior de Educação,3131,Público,Politécnico,Educação Social,9084,Licenciatura,359,Sim,73,"20,3",2009/10_2012/13,DGES
Universidade do Minho,1000,Universidade do Minho,1000,Público,Universitário,Engenharia Biológica,9358,Mestrado Integrado,198,Sim,40,"20,2",2009/10_2012/13,DGES
Universidade Portucalense Infante D. Henrique,2500,Universidade Portucalense Infante D. Henrique,2500,Privado,Universitário,Direito,9078,Licenciatura,124,Sim,25,"20,2",2009/10_2012/13,DGEEC
Instituto Politécnico de Viseu,3180,Escola Superior de Educação de Viseu,3181,Público,Politécnico,Artes Plásticas e Multimédia,9347,Licenciatura,104,Sim,21,"20,1",2009/10_2012/13,DGES
Universidade de Trás-os-Montes e Alto Douro,1200,Escola de Ciências da Vida e do Ambiente,1204,Público,Universitário,Ciências do Desporto,9707,Licenciatura,160,Sim,32,20,2009/10_2012/13,DGES
Universidade de Lisboa,1500,Faculdade de Ciências,1503,Público,Universitário,Engenharia da Energia e do Ambiente,9811,Mestrado Integrado,80,Sim,16,20,2009/10_2012/13,DGES
Universidade de Lisboa,1500,Faculdade de Letras,1506,Público,Universitário,Estudos Asiáticos,9914,Licenciatura,40,Sim,8,20,2009/10_2012/13,DGES
Universidade Lusíada,2400,Universidade Lusíada,2400,Privado,Universitário,Comunicação e Multimédia,9052,Licenciatura,125,Sim,25,20,2009/10_2012/13,DGEEC
Instituto Politécnico de Bragança,3040,Escola Superior de Tecnologia e de Gestão de Bragança,3043,Público,Politécnico,Engenharia de Energias Renováveis,9910,Licenciatura,60,Sim,12,20,2009/10_2012/13,DGES
Instituto Superior de Ciências da Informação e da Administração,4277,Instituto Superior de Ciências da Informação e da Administração,4277,Privado,Politécnico,Gestão Internacional,9175,Licenciatura,35,Sim,7,20,2009/10_2012/13,DGEEC
Instituto Politécnico de Coimbra,3060,Escola Superior de Tecnologia da Saúde de Coimbra,7210,Público,Politécnico,Saúde Ambiental,9861,Licenciatura,95,Sim,19,20,2009/10_2012/13,DGES
Universidade de Lisboa,1500,Instituto Superior de Ciências Sociais e Políticas,1516,Público,Universitário,Administração Pública,9002,Licenciatura,272,Sim,54,"19,8",2009/10_2012/13,DGES
Instituto Politécnico de Bragança,3040,"Escola Superior de Comunicação, Administração e Turismo de Mirandela",3045,Público,Politécnico,Solicitadoria,9242,Licenciatura,227,Sim,45,"19,8",2009/10_2012/13,DGES
Universidade do Minho,1000,Universidade do Minho,1000,Público,Universitário,Sociologia,9240,Licenciatura,218,Sim,43,"19,7",2009/10_2012/13,DGES
Universidade Lusófona de Humanidades e Tecnologias,2800,Universidade Lusófona de Humanidades e Tecnologias,2800,Privado,Universitário,Sociologia,9240,Licenciatura,51,Sim,10,"19,6",2009/10_2012/13,DGEEC
Universidade Lusíada do Porto,2401,Universidade Lusíada do Porto,2401,Privado,Universitário,Relações Internacionais,9229,Licenciatura,41,Sim,8,"19,5",2009/10_2012/13,DGEEC
Instituto Politécnico de Bragança,3040,Escola Superior de Educação de Bragança,3042,Público,Politécnico,Animação e Produção Artística,9933,Licenciatura,41,Sim,8,"19,5",2009/10_2012/13,DGES
Instituto Politécnico de Leiria,3100,Escola Superior de Educação e Ciências Sociais,3101,Público,Politécnico,Animação Cultural,9466,Licenciatura,97,Sim,19,"19,5",2009/10_2012/13,DGES
Instituto Politécnico de Setúbal,3150,Escola Superior de Educação,3151,Público,Politécnico,Comunicação Social,9054,Licenciatura,123,Sim,24,"19,5",2009/10_2012/13,DGES
Escola Superior Artística do Porto,4010,Escola Superior Artística do Porto,4010,Privado,Universitário,Teatro - Interpretação e Encenação,9802,Licenciatura,41,Sim,8,"19,5",2009/10_2012/13,DGEEC
Universidade Fernando Pessoa,2750,Universidade Fernando Pessoa,2750,Privado,Universitário,Ciência Política e Relações Internacionais,9020,Licenciatura,31,Sim,6,"19,4",2009/10_2012/13,DGEEC
Escola Superior de Enfermagem Dr. José Timóteo Montalvão Machado,4093,Escola Superior de Enfermagem Dr. José Timóteo Montalvão Machado,4093,Privado,Politécnico,Enfermagem,9500,Licenciatura,155,Sim,30,"19,4",2009/10_2012/13,DGEEC
Universidade de Évora,600,Escola de Artes,603,Público,Universitário,Artes Visuais - Multimédia,9684,Licenciatura,78,Sim,15,"19,2",2009/10_2012/13,DGES
Universidade de Trás-os-Montes e Alto Douro,1200,Escola de Ciências e Tecnologia,1203,Público,Universitário,Engenharia Mecânica,9123,Licenciatura,52,Sim,10,"19,2",2009/10_2012/13,DGES
Instituto Politécnico de Viseu,3180,Escola Superior de Educação de Viseu,3181,Público,Politécnico,Comunicação Social,9054,Licenciatura,166,Sim,32,"19,2",2009/10_2012/13,DGES
Universidade do Minho,1000,Universidade do Minho,1000,Público,Universitário,Educação,9353,Licenciatura,198,Sim,38,"19,1",2009/10_2012/13,DGES
Universidade Lusíada,2400,Universidade Lusíada,2400,Privado,Universitário,Arquitectura,9257,Mestrado Integrado,565,Sim,108,"19,1",2009/10_2012/13,DGEEC
Universidade Lusíada do Porto,2401,Universidade Lusíada do Porto,2401,Privado,Universitário,Psicologia,9219,Licenciatura,179,Sim,34,19,2009/10_2012/13,DGEEC
Universidade Fernando Pessoa,2750,Universidade Fernando Pessoa,2750,Privado,Universitário,Ciências Empresariais,9045,Licenciatura,63,Sim,12,19,2009/10_2012/13,DGEEC
Instituto Politécnico de Portalegre,3120,Escola Superior de Educação,3121,Público,Politécnico,Turismo,9254,Licenciatura,63,Sim,12,19,2009/10_2012/13,DGES
Universidade Lusófona de Humanidades e Tecnologias,2800,Universidade Lusófona de Humanidades e Tecnologias,2800,Privado,Universitário,Arquitectura,9257,Mestrado Integrado,111,Sim,21,"18,9",2009/10_2012/13,DGEEC
Universidade do Minho,1000,Universidade do Minho,1000,Público,Universitário,Arqueologia,9006,Licenciatura,53,Sim,10,"18,8",2009/10_2012/13,DGES
Universidade de Trás-os-Montes e Alto Douro,1200,Escola de Ciências e Tecnologia,1203,Público,Universitário,Comunicação e Multimédia,9052,Licenciatura,138,Sim,26,"18,8",2009/10_2012/13,DGES
Universidade de Trás-os-Montes e Alto Douro,1200,Escola de Ciências da Vida e do Ambiente,1204,Público,Universitário,Engenharia do Ambiente,9099,Licenciatura,53,Sim,10,"18,8",2009/10_2012/13,DGES
Instituto Politécnico de Portalegre,3120,Escola Superior de Educação,3121,Público,Politécnico,Serviço Social,9238,Licenciatura,217,Sim,41,"18,8",2009/10_2012/13,DGES
Escola Superior de Educação de Fafe,4076,Escola Superior de Educação de Fafe,4076,Privado,Politécnico,Educação Física e Desporto,9736,Licenciatura,101,Sim,19,"18,8",2009/10_2012/13,DGEEC
Universidade de Lisboa,1500,Faculdade de Letras,1506,Público,Universitário,Ciências da Cultura,9025,Licenciatura,112,Sim,21,"18,7",2009/10_2012/13,DGES
Instituto Politécnico da Guarda,3090,"Escola Superior de Educação, Comunicação e Desporto",3091,Público,Politécnico,Animação Sociocultural,9005,Licenciatura,80,Sim,15,"18,7",2009/10_2012/13,DGES
Universidade Católica Portuguesa,2200,Faculdade de Filosofia,2230,Privado,Universitário,Ciências da Comunicação,9023,Licenciatura,118,Sim,22,"18,6",2009/10_2012/13,DGEEC
Universidade Atlântica,2700,Escola Superior de Saúde Atlântica,2701,Privado,Politécnico,Radiologia,9505,Licenciatura,43,Sim,8,"18,6",2009/10_2012/13,DGEEC
Instituto Politécnico de Beja,3020,Escola Superior Agrária,3021,Público,Politécnico,Engenharia do Ambiente,9099,Licenciatura,86,Sim,16,"18,6",2009/10_2012/13,DGES
Escola Universitária das Artes de Coimbra,4120,Escola Universitária das Artes de Coimbra,4120,Privado,Universitário,Design de Comunicação,9070,Licenciatura,59,Sim,11,"18,6",2009/10_2012/13,DGEEC
Instituto Politécnico de Beja,3020,Escola Superior de Educação,3022,Público,Politécnico,Artes Plásticas e Multimédia,9347,Licenciatura,97,Sim,18,"18,5",2009/10_2012/13,DGES
Universidade de Aveiro,300,Escola Superior de Tecnologia e Gestão de Águeda,3012,Público,Politécnico,Técnico Superior de Secretariado,9805,Licenciatura,114,Sim,21,"18,4",2009/10_2012/13,DGES
Universidade do Algarve,200,Faculdade de Ciências Humanas e Sociais,201,Público,Universitário,Ciências da Educação e da Formação,9821,Licenciatura,87,Sim,16,"18,3",2009/10_2012/13,DGES
Universidade Lusíada,2400,Universidade Lusíada,2400,Privado,Universitário,Serviço Social,9238,Licenciatura,180,Sim,33,"18,3",2009/10_2012/13,DGEEC
Instituto de Estudos Superiores Financeiros e Fiscais (Porto),4141,Instituto de Estudos Superiores Financeiros e Fiscais (Porto),4141,Privado,Politécnico,Gestão Financeira e Fiscal,9172,Licenciatura,66,Sim,12,"18,2",2009/10_2012/13,DGEEC
Instituto Universitário da Maia - ISMAI,4358,Instituto Universitário da Maia - ISMAI,4358,Privado,Universitário,Solicitadoria,9242,Licenciatura,297,Sim,54,"18,2",2009/10_2012/13,DGEEC
Instituto Superior de Paços de Brandão,4380,Instituto Superior de Paços de Brandão,4380,Privado,Politécnico,"Marketing, Publicidade e Relações Públicas",9208,Licenciatura,44,Sim,8,"18,2",2009/10_2012/13,DGEEC
Instituto Politécnico de Bragança,3040,Escola Superior de Saúde de Bragança,7015,Público,Politécnico,Gerontologia,9833,Licenciatura,148,Sim,27,"18,2",2009/10_2012/13,DGES
Instituto Politécnico de Bragança,3040,Escola Superior de Educação de Bragança,3042,Público,Politécnico,Educação Social,9084,Licenciatura,352,Sim,64,"18,1",2009/10_2012/13,DGES
Instituto Politécnico de Viseu,3180,Escola Superior de Educação de Viseu,3181,Público,Politécnico,Publicidade e Relações Públicas,9930,Licenciatura,99,Sim,18,"18,1",2009/10_2012/13,DGES
Instituto Politécnico de Bragança,3040,Escola Superior Agrária de Bragança,3041,Público,Politécnico,Ciência e Tecnologia Alimentar,L016,Licenciatura,111,Sim,20,18,2009/10_2012/13,DGES
Instituto Politécnico de Bragança,3040,Escola Superior de Tecnologia e de Gestão de Bragança,3043,Público,Politécnico,Gestão,9147,Licenciatura,150,Sim,27,18,2009/10_2012/13,DGES
Instituto Politécnico de Coimbra,3060,Escola Superior de Tecnologia e Gestão de Oliveira do Hospital,3065,Público,Politécnico,Administração e Finanças,9671,Licenciatura,144,Sim,26,18,2009/10_2012/13,DGES
Instituto Politécnico de Viseu,3180,Escola Superior de Educação de Viseu,3181,Público,Politécnico,Animação Cultural,9466,Licenciatura,122,Sim,22,18,2009/10_2012/13,DGES
Instituto Politécnico de Viseu,3180,Escola Superior de Tecnologia e Gestão de Lamego,3186,Público,Politécnico,"Gestão Turística, Cultural e Patrimonial",9179,Licenciatura,83,Sim,15,18,2009/10_2012/13,DGES
Instituto Superior de Ciências da Informação e da Administração,4277,Instituto Superior de Ciências da Informação e da Administração,4277,Privado,Politécnico,Comunicação,9050,Licenciatura,50,Sim,9,18,2009/10_2012/13,DGEEC
Universidade de Coimbra,500,Faculdade de Letras,505,Público,Universitário,"Ciência da Informação, Arquivística e Biblioteconómica",9695,Licenciatura,89,Sim,16,"17,9",2009/10_2012/13,DGES
Universidade de Évora,600,Escola de Ciências Sociais,604,Público,Universitário,Ciências da Educação,9026,Licenciatura,67,Sim,12,"17,9",2009/10_2012/13,DGES
Instituto Politécnico de Castelo Branco,3050,Escola Superior Agrária de Castelo Branco,3051,Público,Politécnico,Agronomia,9003,Licenciatura,39,Sim,7,"17,9",2009/10_2012/13,DGES
Universidade de Trás-os-Montes e Alto Douro,1200,Escola de Ciências e Tecnologia,1203,Público,Universitário,Engenharia de Energias,9744,Licenciatura,73,Sim,13,"17,8",2009/10_2012/13,DGES
Universidade de Trás-os-Montes e Alto Douro,1200,Escola de Ciências da Vida e do Ambiente,1204,Público,Universitário,Ciência Alimentar,9693,Licenciatura,95,Sim,17,"17,8",2009/10_2012/13,DGES
Universidade de Trás-os-Montes e Alto Douro,1200,Escola de Ciências da Vida e do Ambiente,1204,Público,Universitário,Reabilitação Psicomotora,9841,Licenciatura,207,Sim,37,"17,8",2009/10_2012/13,DGES
Instituto Politécnico de Leiria,3100,Escola Superior de Turismo e Tecnologia do Mar de Peniche,3105,Público,Politécnico,Gestão de Eventos,8514,Licenciatura,56,Sim,10,"17,8",2009/10_2012/13,DGES
Universidade de Évora,600,Escola de Artes,603,Público,Universitário,Design,9069,Licenciatura,79,Sim,14,"17,7",2009/10_2012/13,DGES
Universidade de Évora,600,Escola de Artes,603,Público,Universitário,Arquitectura,9257,Mestrado Integrado,45,Sim,8,"17,7",2009/10_2012/13,DGES
Universidade do Minho,1000,Universidade do Minho,1000,Público,Universitário,História,9181,Licenciatura,90,Sim,16,"17,7",2009/10_2012/13,DGES
