Estabelecimento,CodigoEstabelecimento,UnidadeOrganica,CodigoUnidadeOrganica,Natureza,TipoEnsino,NomeCurso,CodigoCurso,Grau,NumeroDiplomadosCurso,AmostraAceite,NumeroDiplomadosDesempregados,TaxaDesempregoRegistadoCurso,AnosLetivosDiplomados,Fonte
Universidade de Lisboa,1500,Faculdade de Direito,1504,Público,Universitário,Direito,9078,Licenciatura,1463,Sim,116,"7,9",2009/10_2012/13,DGES
Instituto Superior de Ciências Educativas,4270,Instituto Superior de Ciências Educativas,4270,Privado,Politécnico,Animação Sociocultural,9005,Licenciatura,38,Sim,3,"7,9",2009/10_2012/13,DGEEC
Universidade de Coimbra,500,Faculdade de Letras,505,Público,Universitário,"Turismo, Lazer e Património",9810,Licenciatura,165,Sim,13,"7,8",2009/10_2012/13,DGES
Universidade do Porto,1100,Faculdade de Engenharia,1105,Público,Universitário,Ciências de Engenharia - Engenharia de Minas e Geoambiente,9897,Licenciatura,38,Sim,3,"7,8",2009/10_2012/13,DGES
Universidade Lusófona de Humanidades e Tecnologias,2800,Universidade Lusófona de Humanidades e Tecnologias,2800,Privado,Universitário,Ciência Política e Relações Internacionais,9020,Licenciatura,154,Sim,12,"7,8",2009/10_2012/13,DGEEC
Instituto Politécnico de Bragança,3040,Escola Superior de Tecnologia e de Gestão de Bragança,3043,Público,Politécnico,Engenharia Biomédica,9455,Licenciatura,127,Sim,10,"7,8",2009/10_2012/13,DGES
ISCTE - Instituto Universitário de Lisboa,6800,ISCTE - Instituto Universitário de Lisboa,6800,Público,Universitário,Economia,9081,Licenciatura,280,Sim,22,"7,8",2009/10_2012/13,DGES
Universidade de Aveiro,300,Universidade de Aveiro,300,Público,Universitário,Novas Tecnologias da Comunicação,9215,Licenciatura,231,Sim,18,"7,7",2009/10_2012/13,DGES
Universidade do Minho,1000,Universidade do Minho,1000,Público,Universitário,Engenharia Mecânica,9369,Mestrado Integrado,142,Sim,11,"7,7",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Faculdade de Ciências,1503,Público,Universitário,Geologia,9146,Licenciatura,168,Sim,13,"7,7",2009/10_2012/13,DGES
Instituto Politécnico de Tomar,3240,Escola Superior de Gestão de Tomar,3241,Público,Politécnico,Gestão de Recursos Humanos e Comportamento Organizacional,9640,Licenciatura,142,Sim,11,"7,7",2009/10_2012/13,DGES
Escola Superior de Saúde Ribeiro Sanches,4104,Escola Superior de Saúde Ribeiro Sanches,4104,Privado,Politécnico,Análises Clínicas e de Saúde Pública,9497,Licenciatura,117,Sim,9,"7,7",2009/10_2012/13,DGEEC
Instituto Superior de Gestão,4300,Instituto Superior de Gestão,4300,Privado,Universitário,Gestão,9147,Licenciatura,323,Sim,25,"7,7",2009/10_2012/13,DGEEC
Universidade Lusíada,2400,Universidade Lusíada,2400,Privado,Universitário,Gestão de Empresa,9151,Licenciatura,224,Sim,17,"7,6",2009/10_2012/13,DGEEC
Universidade Fernando Pessoa,2750,Universidade Fernando Pessoa,2750,Privado,Universitário,Engenharia Civil,9089,Licenciatura,197,Sim,15,"7,6",2009/10_2012/13,DGEEC
Universidade do Algarve,200,Instituto Superior de Engenharia,3083,Público,Politécnico,Engenharia Eléctrica e Electrónica,9503,Licenciatura,117,Sim,9,"7,6",2009/10_2012/13,DGES
Instituto Politécnico de Bragança,3040,Escola Superior de Saúde de Bragança,7015,Público,Politécnico,Enfermagem,9500,Licenciatura,287,Sim,22,"7,6",2009/10_2012/13,DGES
Universidade Lusíada,2400,Universidade Lusíada,2400,Privado,Universitário,Gestão de Recursos Humanos,9157,Licenciatura,67,Sim,5,"7,5",2009/10_2012/13,DGEEC
Instituto Politécnico de Beja,3020,Escola Superior Agrária,3021,Público,Politécnico,Agronomia,9003,Licenciatura,133,Sim,10,"7,5",2009/10_2012/13,DGES
Instituto Politécnico de Viana do Castelo,3160,Escola Superior Agrária,3161,Público,Politécnico,Biotecnologia,9016,Licenciatura,66,Sim,5,"7,5",2009/10_2012/13,DGES
Instituto Politécnico de Castelo Branco,3050,Escola Superior de Saúde Dr. Lopes Dias,7020,Público,Politécnico,Fisioterapia,9504,Licenciatura,93,Sim,7,"7,5",2009/10_2012/13,DGES
Universidade da Beira Interior,400,Universidade da Beira Interior,400,Público,Universitário,Cinema,9048,Licenciatura,134,Sim,10,"7,4",2009/10_2012/13,DGES
Instituto Politécnico de Lisboa,3110,Instituto Superior de Contabilidade e Administração de Lisboa,3117,Público,Politécnico,Gestão,9147,Licenciatura,445,Sim,33,"7,4",2009/10_2012/13,DGES
